Constituency_Tree,Named_Entities,POS_Tags,Semantic_Roles,Sentence,SentenceID
[u'(TOP (S (NP (DT The) (NN average)) (VP (MD would) (VP (VB end) (PRT (RP off)) (NP (NP (DT the) (NN decade)) (PP (IN near) (NP (NP (DT the) (NN vicinity)) (PP (IN of) (NP (DT the) (ADJP (CD 100) (NN point)) (NN level)))))))) (. .)))'],"[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'DT', u'NN', u'MD', u'VB', u'RP', u'DT', u'NN', u'IN', u'DT', u'NN', u'IN', u'DT', u'CD', u'NN', u'NN', u'.']]","[[u'3-3/end[A1=0-1/The_average, AM-MOD=2-2/would, A1=5-14/the_decade_near_the_vicinity_of_the_100_point_level]']]",The average would end off the decade near the vicinity of the 100 point level.,a1e63aab-3bdb-4783-b2c8-cb2e57a8cad6
"[u'(TOP (S (NP (JJ Other) (JJ famous) (NN tozama) (NNS clans)) (VP (VBD included) (NP (NP (DT the) (NN Mori)) (PP (IN of) (NP (NP (NP (NNP Ch\u014dsh\u016b)) (, ,) (NP (NP (DT the) (NNP Shimazu)) (PP (IN of) (NP (NP (NNP Satsuma)) (, ,) (NP (NP (DT the) (NNP Date)) (PP (IN of) (NP (NP (NNP Sendai)) (, ,) (NP (NP (DT the) (NNP Uesugi)) (PP (IN of) (NP (NNP Yonezawa)))))))))) (, ,)) (CC and) (NP (NP (DT the) (NNP Hachisuka)) (PP (IN of) (NP (NNP Awa)))))))) (. .)))']","[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 14, u'Offset': 39}, {u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 7, u'Offset': 71}, {u'NormalizedToken': u'ORG', u'RawToken': None, u'Len': 14, u'Offset': 85}, {u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 8, u'Offset': 116}, {u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 16, u'Offset': 135}], u'Len': 0, u'Offset': 0}]","[[u'JJ', u'JJ', u'NN', u'NNS', u'VBD', u'DT', u'NNP', u'IN', u'NNP', u',', u'DT', u'NNP', u'IN', u'NNP', u',', u'DT', u'NNP', u'IN', u'NNP', u',', u'DT', u'NNP', u'IN', u'NNP', u',', u'CC', u'DT', u'NNP', u'IN', u'NNP', u'.']]","[[u'4-4/included[A2=0-3/Other_famous_tozama_clans, A1=5-29/the_Mori_of_Ch\u014dsh\u016b_,_the_Shimazu_of_Satsuma_,_the_Date_of_Sendai_,_the_Uesugi_of_Yonezawa_,_and_the_Hachisuka_of_Awa]']]","Other famous tozama clans included the Mori of Chōshū , the Shimazu of Satsuma , the Date of Sendai , the Uesugi of Yonezawa , and the Hachisuka of Awa .",c9972cc5-9607-4f5d-bc32-98ebd98910ef
"[u""(TOP (S (S (ADVP (NP (CD Nine) (NNS years)) (RB earlier)) (, ,) (NP (PRP he)) (VP (VBD had) (VBD said))) (, ,) (`` `) (NNP Rock) (NP (NP (`` `) (NP (NN n)) (POS ')) (NN roll)) (VP (VBZ has) (VP (VBN been) (ADVP (RB around)) (PP (IN for) (NP (JJ many) (NNS years))))) (. .)))""]","[{u'Tokens': [{u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 4, u'Offset': 34}], u'Len': 0, u'Offset': 0}]","[[u'CD', u'NNS', u'RBR', u',', u'PRP', u'VBD', u'VBD', u',', u'``', u'NNP', u'``', u'JJ', u""''"", u'NN', u'VBZ', u'VBN', u'IN', u'IN', u'JJ', u'NNS', u'.']]","[[u'6-6/said[AM-TMP=0-2/Nine_years_earlier, A0=4-4/he]', u""15-15/been[A1=10-13/`_n_'_roll, AM-MNR=16-16/around, AM-TMP=17-19/for_many_years]""]]","Nine years earlier, he had said, 'Rock 'n' roll has been around for many years.",3acbcc5c-436c-44a5-a71b-145e9f14c96e
"[u'(TOP (S (PP (IN By) (VBG using)) (, ,) (PP (IN for) (NP (NN example))) (, ,) (NP (NP (NP (VBN feature-oriented) (VBG scanning)) (: -) (NN positioning) (NN approach)) (, ,) (NNS atoms)) (VP (MD can) (VP (VB be) (VP (VBD moved) (PRT (RP around)) (PP (IN on) (NP (NP (DT a) (NN surface)) (PP (IN with) (NP (VBG scanning) (NN probe) (NN microscopy) (NNS techniques)))))))) (. .)))']","[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'IN', u'VBG', u',', u'IN', u'NN', u',', u'VBD', u'VBG', u':', u'VBG', u'NN', u',', u'NNS', u'MD', u'VB', u'VBN', u'IN', u'IN', u'DT', u'NN', u'IN', u'VBG', u'NN', u'NN', u'NNS', u'.']]","[[u'1-1/using[AM-DIS=3-4/for_example]', u'6-6/feature-oriented[AM-DIS=3-4/for_example, A1=7-7/scanning]', u'15-15/moved[AM-MNR=0-1/By_using, AM-DIS=3-4/for_example, A1=6-12/feature-oriented_scanning_-_positioning_approach_,_atoms, AM-MOD=13-13/can, AM-DIR=16-16/around, AM-ADV=17-24/on_a_surface_with_scanning_probe_microscopy_techniques]', u'21-21/scanning[A0=22-22/probe]']]","By using, for example, feature-oriented scanning - positioning approach, atoms can be moved around on a surface with scanning probe microscopy techniques.",1c2c847b-ce7c-476e-b299-c58b989b4ef1
"[u""(TOP (S (ADVP (RB Later)) (, ,) (SBAR (IN on) (CD 20)) (NP (NNP May) (CD 1793)) (, ,) (NP (NNS women)) (VP (VBD were) (PP (IN at) (NP (NP (NP (DT the) (NN fore)) (PP (IN of) (NP (NP (DT a) (NN crowd)) (SBAR (WHNP (WDT that)) (S (VP (VBD demanded) (`` `) (NN bread))))))) (CC and) (NP (NP (DT the) (NNP Constitution)) (PP (IN of) (NP (CD 1793))))))) (. .) ('' ')))""]","[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 5, u'Offset': 0}], u'Len': 0, u'Offset': 0}]","[[u'RB', u',', u'IN', u'CD', u'NNP', u'CD', u',', u'NNS', u'VBD', u'IN', u'DT', u'NN', u'IN', u'DT', u'NN', u'WDT', u'VBD', u'``', u'NN', u'CC', u'DT', u'NNP', u'IN', u'CD', u'.', u""''""]]","[[u'8-8/were[AM-TMP=0-0/Later, AM-TMP=2-3/on_20, AM-TMP=4-5/May_1793, A1=7-7/women, AM-LOC=9-23/at_the_fore_of_a_crowd_that_demanded_`_bread_and_the_Constitution_of_1793]', u'16-16/demanded[A0=13-14/a_crowd, R-A0=15-15/that]']]","Later, on 20 May 1793, women were at the fore of a crowd that demanded 'bread and the Constitution of 1793.'",a5f51711-b0f5-40f6-90fb-5a5dfddf48e1
"[u""(TOP (S (NP (NNS Economists)) (VP (VB debate) (NP (NP (DT the) (NN level)) (PP (IN of) (NP (NN debt)))) (ADVP (JJ relative) (PP (TO to) (NP (NNP GDP)))) (SBAR (SBAR (WHNP (WDT that)) (S (VP (VBZ signals) (NP (DT a) (`` `) (JJ red) (NN line) ('' ') (CC or) (JJ dangerous) (NN level))))) (, ,) (CC or) (SBAR (IN if) (S (NP (DT any) (JJ such) (NN level)) (VP (VBZ exists)))))) (. .)))""]","[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 10, u'Offset': 0}], u'Len': 0, u'Offset': 0}]","[[u'NNS', u'NN', u'DT', u'NN', u'IN', u'NN', u'JJ', u'TO', u'NNP', u'IN', u'NNS', u'DT', u'``', u'JJ', u'NN', u'POS', u'CC', u'JJ', u'NN', u',', u'CC', u'IN', u'DT', u'JJ', u'NN', u'VBZ', u'.']]","[[u""1-1/debate[A0=0-0/Economists, A1=2-5/the_level_of_debt, AM-ADV=6-8/relative_to_GDP, A1=9-25/that_signals_a_`_red_line_'_or_dangerous_level_,_or_if_any_such_level_exists]"", u""10-10/signals[R-A0=9-9/that, A1=11-18/a_`_red_line_'_or_dangerous_level]"", u'25-25/exists[A1=22-24/any_such_level]']]","Economists debate the level of debt relative to GDP that signals a 'red line' or dangerous level, or if any such level exists.",1b2b465d-9f52-4738-a779-82c8eeabc5a1
[u'(TOP (S (NP (DT A) (JJ third) (NNS hypothesis)) (VP (VBD was) (SBAR (IN that) (S (NP (DT the) (NN explosion)) (VP (VBD was) (VP (VBN caused) (PP (IN by) (NP (NN steam)))))))) (. .)))'],"[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'DT', u'JJ', u'NN', u'VBD', u'IN', u'DT', u'NN', u'VBD', u'VBN', u'IN', u'NN', u'.']]","[[u'3-3/was[A1=0-2/A_third_hypothesis, A1=4-10/that_the_explosion_was_caused_by_steam]', u'8-8/caused[A1=5-6/the_explosion, A0=9-10/by_steam]']]",A third hypothesis was that the explosion was caused by steam.,6b14153c-f9bd-4411-a764-19c1bd7e91d3
"[u'(TOP (S (NP (NP (DT A) (NN material)) (PP (JJ such) (IN as) (NP (NP (NN gold)) (, ,) (SBAR (WHNP (WDT which)) (S (VP (VBZ is) (VP (ADVP (RB chemically)) (VBN inert) (PP (IN at) (NP (JJ normal) (NNS scales))))))) (, ,)))) (VP (MD can) (VP (VB serve) (PP (IN as) (NP (NP (DT a) (JJ potent) (NN chemical) (NN catalyst)) (PP (IN at) (VBZ nanoscales)))))) (. .)))']","[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'DT', u'NN', u'JJ', u'IN', u'NN', u',', u'WDT', u'VBZ', u'RB', u'JJ', u'IN', u'JJ', u'NNS', u',', u'MD', u'VB', u'IN', u'DT', u'JJ', u'NN', u'NN', u'IN', u'NNS', u'.']]","[[u'9-9/inert[A1=4-4/gold, R-A1=6-6/which, AM-MNR=8-8/chemically, AM-LOC=10-12/at_normal_scales]', u'15-15/serve[A0=0-13/A_material_such_as_gold_,_which_is_chemically_inert_at_normal_scales_,, AM-MOD=14-14/can, A1=16-22/as_a_potent_chemical_catalyst_at_nanoscales]', u'22-22/nanoscales[A1=17-20/a_potent_chemical_catalyst]']]","A material such as gold , which is chemically inert at normal scales, can serve as a potent chemical catalyst at nanoscales.",63e549cb-9b03-4762-8e43-7cdec4b6ca5c
"[u'(TOP (S (SBAR (WHADVP (WRB When)) (S (NP (NNP Alexander)) (VP (VBD was) (ADJP (NP (JJ thirteen) (NNS years)) (JJ old))))) (, ,) (NNP Philip) (VP (VBD began) (S (VP (TO to) (VP (VB search) (PP (IN for) (NP (DT a) (NN tutor))))))) (. .)))']","[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 6, u'Offset': 39}], u'Len': 0, u'Offset': 0}]","[[u'WRB', u'NNP', u'VBD', u'CD', u'NNS', u'JJ', u',', u'NNP', u'VBD', u'TO', u'VB', u'IN', u'DT', u'NN', u'.']]","[[u'2-2/was[R-AM-TMP=0-0/When, A1=1-1/Alexander, A1=3-5/thirteen_years_old]', u'8-8/began[AM-TMP=0-5/When_Alexander_was_thirteen_years_old, C-A1=9-13/to_search_for_a_tutor]', u'10-10/search[A1=11-13/for_a_tutor]']]","When Alexander was thirteen years old, Philip began to search for a tutor .",1d3f2e3c-58b0-4b33-a2c0-c0000bcc9af2
"[u'(TOP (S (S (SBAR (IN While) (S (VP (VP (VBG discussing) (NP (NP (JJ labor-intensive) (NNS projects)) (PP (JJ such) (IN as) (NP (NN waterworks))))) (CC and) (VP (VBG making) (NP (NN steel)))))) (, ,) (NP (NNP Chang)) (VP (VBZ claims) (NNP Mao) (VP (VBD said) (PP (TO to) (NP (PRP$ his) (JJ inner) (NN circle))) (PP (IN in) (NP (NNP November) (CD 1958)))))) (: :) (`` `) (S (VP (VBG Working) (PP (IN like) (NP (DT this))))) (, ,) (PP (IN with) (NP (PDT all) (DT these) (NNS projects))) (, ,) (NP (NP (NN half)) (PP (IN of) (NP (NNP China)))) (VP (MD may) (ADVP (RB well)) (VP (VB have) (S (VP (TO to) (VP (VB die)))))) (. .)))']","[{u'Tokens': [{u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 5, u'Offset': 79}, {u'NormalizedToken': u'PERS', u'RawToken': None, u'Len': 3, u'Offset': 92}, {u'NormalizedToken': u'LOC', u'RawToken': None, u'Len': 5, u'Offset': 192}], u'Len': 0, u'Offset': 0}]","[[u'IN', u'VBG', u'JJ', u'NNS', u'JJ', u'IN', u'NN', u'CC', u'VBG', u'NN', u',', u'NNP', u'VBZ', u'NNP', u'VBD', u'TO', u'PRP$', u'JJ', u'NN', u'IN', u'NNP', u'CD', u':', u'``', u'JJ', u'IN', u'DT', u',', u'IN', u'DT', u'DT', u'NNS', u',', u'NN', u'IN', u'NNP', u'MD', u'RB', u'VB', u'TO', u'VB', u'.']]","[[u'1-1/discussing[A1=2-6/labor-intensive_projects_such_as_waterworks]', u'8-8/making[A1=9-9/steel]', u'14-14/said[AM-ADV=0-9/While_discussing_labor-intensive_projects_such_as_waterworks_and_making_steel, A0=11-11/Chang, A2=15-18/to_his_inner_circle, AM-LOC=19-21/in_November_1958, C-A1=28-31/with_all_these_projects]', u'24-24/Working[A1=25-26/like_this, A0=33-35/half_of_China]', u'38-38/have[AM-ADV=0-21/While_discussing_labor-intensive_projects_such_as_waterworks_and_making_steel_,_Chang_claims_Mao_said_to_his_inner_circle_in_November_1958, A1=24-26/Working_like_this, AM-ADV=28-31/with_all_these_projects, A0=33-35/half_of_China, AM-MOD=36-36/may, AM-ADV=37-37/well]', u'40-40/die[A1=33-35/half_of_China, AM-MOD=38-38/have]']]","While discussing labor-intensive projects such as waterworks and making steel, Chang claims Mao said to his inner circle in November 1958: 'Working like this, with all these projects, half of China may well have to die.",ea901b1e-d0c6-44a6-abf6-3ac02067c615
[u'(TOP (S (NP (JJ Marginal) (NNS crevasses)) (VP (VBP are) (ADVP (RB usually)) (ADJP (RB largely) (JJ transverse) (PP (TO to) (NN flow)))) (. .)))'],"[{u'Tokens': [], u'Len': 0, u'Offset': 0}]","[[u'JJ', u'NNS', u'VBP', u'RB', u'RB', u'VB', u'TO', u'VB', u'.']]","[[u'2-2/are[A1=0-1/Marginal_crevasses, AM-TMP=3-3/usually, A2=4-7/largely_transverse_to_flow]']]",Marginal crevasses are usually largely transverse to flow.,40fbd0ff-f838-4c94-bae4-c349cea0fdae
